NSESymbol,Name,ISIN,ListingDate,ICICISymbol,Active,Series,LotSize,IsFuture,X
ADL,ARCHIDPLY DECOR LIMITED,INE0CHO01012,20201001,ARCDEC,TRUE,BE,,,
ADLABS,,,,,,,,,
ADLABSFILM,ADLABS FILMS LIMITED,,,,,,,,TRUE
ADORWELD,ADOR WELDING LIMITED,INE045A01017,19950510,ADOWEL,TRUE,EQ,,,
ADROITINFO,ADROIT INFOTECH LIMITED,INE737B01033,19970813,SPHGLO,TRUE,BE,,,
ADSL,ALLIED DIGITAL SERVICES LIMITE,INE102I01027,20070725,ALLDIG,TRUE,EQ,,,
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA,INE199C01026,20070625,ADVHOT,TRUE,EQ,,,
ADVANIORLI,,,,,,,,,
ADVANTA,ADVANTA LIMITED,INE517H01028,,ADVIND,,,,,
ADVENZYMES,ADVANCED ENZYME TECHNO LTD,INE837H01020,20160801,ADVENZ,TRUE,EQ,,,
AEC,AEC (I) LTD,,,,,,,,
AEGISCHEM,AEGIS LOGISTICS LTD,INE208C01025,19960403,AEGLOG,TRUE,EQ,,,
AETHER,Aether Industries Limited,INE0BWX01014,20220603,AETIND,TRUE,EQ,,,
AFFLE,AFFLE INDIA LIMITED,INE00WC01027,20190808,AFFIND,TRUE,EQ,,,
AFL,ACCEL FRONTLINE LIMITED,INE020G01017,,TRASYS,,,,,
AFL-RE,ARVIND FASHIONS RIGHTS ENT 2,INE955V20021,,ARVRE2,,,,,
AFTEK,AFTEK LTD,INE796A01023,,AFTINF,,,,,
AFTEKINFO,,,,,,,,,
AGARIND,AGARWAL INDUSTRIAL CORPORATION,INE204E01012,20140526,AGAIND,TRUE,BE,,,
AGCNET,,,,,,,,,
AGEEGOLD,AGEE GOLD REFINERS LIMITED,,,,,,,,
AGI,AGI Greenpac Limited,INE415A01038,20000531,HSILIM,TRUE,EQ,,,TRUE
AGLSL,ARTEMIS GLOB LIFE SCIENCE LTD,INE517U01013,,ARTGLO,,,,,
AGRE,AGRE DEVELOPERS LIMITED,,,,,,,,
AGREVOIND,BAYER  CROPSCIENCE INDIA LTD,INE556A01013,,AGREVO,,,,,
AGRIHATCH,AGRITECH HATCHERIES & FOODS LTD,,,,,,,,
AGRITECH,AGRI-TECH (INDIA) LIMITED,INE449G01018,20140128,AGRITE,TRUE,EQ,,,
AGRODUTCH,AGRO DUTCH INDUSTRIES LIMITED,,,,,,,,
AGROPHOS,AGRO PHOS INDIA LIMITED,INE740V01019,20190308,AGRPHO,TRUE,EQ,,,
AGSTRA,AGS Transact Technologies Limited,INE583L01014,20220131,AGSTRA,TRUE,EQ,,,
AHLADA,AHLADA ENGINEERS LTD,INE00PV01013,20210128,AHLENG,TRUE,EQ,,,
AHLEAST,ASIAN HOTELS (EAST) LIMITED,INE926K01017,20100811,ASIEAS,TRUE,EQ,,,
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LT,INE758C01029,20091214,AHLCON,TRUE,EQ,,,
AHLWEST,Asian Hotels (West) Limited,INE915K01010,20100805,ASIWES,,EQ,,,
AHMEDELEC,,,,,,,,,
AHMEDFORGE,AHMEDNAGAR FORGINGS LIMITED,,,,,,,,TRUE
AIAENG,AIA ENGINEERING LTD,INE212H01026,20051214,AIAENG,TRUE,EQ,,,
AICHAMP,AI CHAMPDANY INDUSTRIES LIMITE,INE768E01024,,A1CHAM,,,,,
AIFL,,,,,,,,,
AIL,,,,,,,,,TRUE
AIMCOPEST,AIMCO PESTICIDES LTD.,INE008B01013,,AIMPES,,,,,
AIONJSW,,,,,,,,,
AIRAN,Airan Limited,INE645W01026,20190503,AIRLTD,TRUE,EQ,,,
AIRDECCAN,,,,,,,,,
AIROLAM,Airo Lam limited,INE801L01010,20211013,AIRLAM,TRUE,EQ,,,
AIRTEL-RE,BHARTI AIRTEL RIGHTS ENTITLEM,INE397D20024,20211005,BHARE1,,BE,,,
AJANTPHARM,AJANTA PHARMA LTD,INE031B01049,20000529,AJAPHA,TRUE,EQ,,,
AJMERA,AJMERA REALTY & INFRA INDIA LI,INE298G01027,20090616,AJMREA,TRUE,EQ,,,
AJOONI,Ajooni Biotech Limited,INE820Y01013,20210507,AJOBIO,TRUE,BE,,,
AJRINFRA,AJR INFRA AND TOLLING LIMITED,INE181G01025,20080403,GAMINF,TRUE,BE,,,
AKAIMPEX,AKAI IMPEX LTD,,,,,,,,
AKARLAMIN,AKAR LAMINATORS LTD,,,,,,,,TRUE
AKASH,AKASH INFRA-PROJECTS LIMITED,INE737W01013,20191011,AKAINF,TRUE,EQ,,,
AKG,AKG Exim Limited,INE00Y801016,20210216,AKGEXI,TRUE,EQ,,,
AKGACOUST,AKG ACOUSTICS (I) LTD,,,,,,,,
AKRUTI,AKRUTI CITY LIMITED,,,,,,,,TRUE
AKSHAR,Akshar Spintex Limited,INE256Z01017,20220523,AKSSPI,TRUE,EQ,,,TRUE
AKSHARCHEM,AKSHARCHEM (INDIA) LTD,INE542B01011,20170328,AUDIND,TRUE,EQ,,,
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,INE523B01011,20000818,AKSOPT,TRUE,EQ,,,
AKZOINDIA,AKZO NOBEL INDIA LIMITED,INE133A01011,20010628,AKZNOB,TRUE,EQ,,,
ALANKIT,ALANKIT LIMITED,INE914E01040,20150630,ALALIM,TRUE,EQ,,,
ALBERTDAVD,ALBERT DAVID LTD,INE155C01010,20160614,ALBDAV,TRUE,EQ,,,
ALBK,ALLAHABAD BANK,INE428A01015,,ALLBAN,,,,,
ALBRMORARJ,RHODIA SPECIALTY CHEMICALS LTD,INE255B01010,,ALBWIL,,,,,
ALCHEM,ALCHEMIST LIMITED,INE964B01033,,ALCLIM,,EQ,,,
ALCHEMIST,ALCHEMIST LIMITED,,,,,,,,
ALEMBICLTD,ALEMBIC LTD,INE426A01027,19990922,ALECHE,TRUE,EQ,,,
ALFALAVAL,ALFA LAVAL (INDIA) LIMITED,INE427A01017,,ALFLAV,,,,,
ALFREDHERB,ALFRED HERBERT (INDIA) LTD.,,,,,,,,
ALIANCREDT,ALLIANCE CREDIT & INVESTMENTS LTD.,,,,,,,,TRUE
ALICON,ALICON CASTALLOY LIMITED,INE062D01024,20060929,ALICAS,TRUE,EQ,,,
ALKALI,ALKALI METALS LIMITED,INE773I01017,20081106,ALKMET,TRUE,EQ,,,
ALKEM,ALKEM LABORATORIES LIMITED,INE540L01014,20151223,ALKLAB,TRUE,EQ,200,TRUE,
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED,INE150B01039,20071126,ALKAMI,TRUE,EQ,,,
ALLCARGO,ALLCARGO LOGISTICS LTD,INE418H01029,20060623,ALLLOG,TRUE,EQ,,,
ALLIEDRES,ALLIED RESINS AND CHEMICALS LIMITED,,,,,,,,
ALLSEC,ALLSEC TECHNOLOGIES LIMITED,INE835G01018,20050509,ALLTEC,TRUE,EQ,,,
ALMBICHEM,ALEMBIC CHEMICAL WORKS CO. LTD,,,,,,,,
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMI,INE326B01027,20080616,ALMGLO,TRUE,EQ,,,
ALOKINDS,ALOK INDUSTRIES LIMITED,INE270A01029,20200219,ALOIND,TRUE,EQ,,,
ALOKTEXT,ALOK INDUSTRIES LIMITED,,,,,,,,
ALPA,ALPA LABORATORIES LIMITED,INE385I01010,20070806,ALPALA,TRUE,EQ,,,
ALPHADRUG,ALPHA DRUG (I) LTD,,,,,,,,
