NSESymbol,Name,ISIN,ListingDate,ICICISymbol,Active,Series,LotSize,IsFuture,X
FUJITSICIM,ZENSAR TECHNOLOGIES LIMITED,,,,,,,,
FULFORD,FULFORD (INDIA) LTD,INE521A01017,,FULIND,,,,,
FULLERKCP,FULLER INDIA LTD,,,,,,,,
FUTUREVENT,FUTURE VENTURES INDIA LIMITED,,,,,,,,TRUE
FVIL,,,,,,,,,TRUE
G5,,,,,,,,,
GABRIEL,GABRIEL INDIA LTD,INE524A01029,20050420,GABIND,TRUE,EQ,,,
GAEL,GUJARAT AMBUJA EXPORTS LIMITED,INE036B01030,20001011,GUJAE,TRUE,EQ,,,
GAIL,GAIL (INDIA) LIMITED,INE129A01019,19970402,GAIL,TRUE,EQ,6100,TRUE,
GAL,GYSCOAL ALLOYS LIMITED,INE482J01021,20101027,GYSALL,TRUE,EQ,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,INE600K01018,20180208,GALSUR,TRUE,EQ,,,
GALLANTT,GALLANTT METAL LIMITED,INE297H01019,20060404,GALMET,TRUE,EQ,,,
GALLISPAT,GALLANTT ISPAT LIMITED,INE528K01029,20101011,GALISP,,EQ,,,
GALPOWTEL,GALADA POWER & COMMUNICATION L,INE255C01018,,GALPOW,,,,,
GAMMNINFRA,,,,,,,,,
GAMMONIND,GAMMON INDIA LIMITED,,,,,,,,
GANAPATEXP,GANAPATI EXPORTS LIMITED,,,,,,,,TRUE
GANDHITUBE,GANDHI SPECIAL TUBES LIMITED,INE524B01027,20070131,GANSPE,TRUE,EQ,,,
GANECOS,GANESHA ECOSPHERE   LIMITED,INE845D01014,20150309,GANECO,TRUE,EQ,,,
GANESHANHY,FUTURISTIC OFFSHORE SERVICES A,INE418A01016,,GANANH,,,,,
GANESHBE,GANESH BENZOPLAST LTD,INE388A01029,20210916,GANBEN,TRUE,EQ,,,
GANESHBENZ,GANESH BENZOPLAST LTD,,,,,,,,
GANESHHOUC,GANESH HOUSING CORPORATION LTD,INE460C01014,20070302,GANHOU,TRUE,EQ,,,
GANGAFORGE,GANGA FORGING LIMITED,INE691Z01023,20210706,GANFO,TRUE,EQ,,,
GANGESSECU,GANGES SECURITIES LIMITED,INE335W01016,20170728,GANSEC,TRUE,EQ,,,
GANGOTEX,GANGOTRI TEXTILES LTD.,,,,,,,,
GANGOTRI,GANGOTRI TEXTILES LTD,INE670B01028,20060407,GANTEX,,BE,,,
GANHSGFIN,GANESH HOUSING FINANCE CORPN. LTD.,,,,,,,,
GARDENSILK,GARDEN SILK MILLS LTD,INE526A01016,,GARSIL,,,,,
GARFIBRES,GARWARE TECHNICAL FIBRES LTD,INE276A01018,20070403,GARWAL,TRUE,EQ,,,
GARWALLROP,GARWARE WALL ROPES LIMITED,,,,,,,,
GARWARPOLY,,,,,,,,,
GARWARSHIP,GARWARE SHIPPING CORPORATION LTD,,,,,,,,
GARWOFFS,GLOBAL OFFSHORE SERVICES LIMITED,,,,,,,,TRUE
GATEWAY,Gateway Distriparks Limited,INE079J01017,20220322,GATDIS,TRUE,EQ,,,
GATI,GATI LIMITED,INE152B01027,20061010,GATLIM,TRUE,EQ,,,
GAYAHWS,GAYATRI HIGHWAYS LIMITED,INE287Z01012,20180628,GAYHIG,TRUE,BE,,,
GAYAPROJ,GAYATRI PROJECTS LIMITED,INE336H01023,20110822,GAYPRO,TRUE,EQ,,,
GBGLOBAL,GB GLOBAL LIMITED,INE087J01028,20190604,MANDIN,,EQ,,,
GBN,,,,,,,,,
GDL,,,,,,,,,
GDL-RE,GATEWAY DIST LTD RIGHTS ENTITL,INE852F20015,,GATRE1,,,,,
GECALSTHOM,ALSTOM LTD.,,,,,,,,
GEECEE,GEECEE VENTURES LIMITED,INE916G01016,20061004,GEEVEN,TRUE,EQ,,,
GEEKAYEXIM,,,,,,,,,
GEEKAYWIRE,GEEKAY WIRE LIMITED,INE669X01016,20200306,GEEWIR,TRUE,EQ,,,
GEINDSYS,GEI INDUSTRIAL SYSTEMS LIMITED,INE599B01011,,GEIHAM,,,,,
GEMINI,GEMINI COMMUNICATION LIMITED,,,,,,,,
GEMSPIN,,,,,,,,,TRUE
GENCON,GENERIC ENG CONS PROJECTS LTD,INE854S01022,20210216,20210216,TRUE,EQ,,,
GENESYS,GENESYS INTERNATIONAL CORPORAT,INE727B01026,20030123,GENINT,TRUE,BE,,,
GENUSOVERE,,,,,,,,,
GENUSPAPER,GENUS PAPER & BOARDS LIMITED,INE949P01018,20150216,GENPAP,TRUE,EQ,,,
GENUSPOWER,GENUS POWER INFRASTRUCTURES LT,INE955D01029,20050708,GENOVE,TRUE,EQ,,,
GEODESIC,GEODESIC LTD,INE371D01029,,BVHOLD,,,,,
GEOINFO,,,,,,,,,
GEOJIT,GEOJIT FINANCIAL SERVICES LIMITED,,,,,,,,TRUE
GEOJITBNPP,GEOJIT BNP PARIBAS FINANCIAL SERVICES LIMITED,,,,,,,,TRUE
GEOJITFSL,GEOJIT FINANCIAL SERVICES LTD,INE007B01023,20050701,GEOBNP,TRUE,EQ,,,
GEOMETRIC,GEOMETRIC LIMITED,INE797A01021,,GEOLIM,,,,,
GEORGFISCH,GEORG FISCHER DISA LTD.,,,,,,,,
GEORGWILIM,WILLIAMSON TEA ASSAM LIMITED,INE222A01012,,GEOWIL,,,,,
GEPIL,GE POWER INDIA LIMITED,INE878A01011,20000419,ALSIND,TRUE,EQ,,,
GERMANREM,GERMAN REMEDIES LTD,INE382A01014,,GERREM,,,,,
GESCOCORP,,,,,,,,,
GESHIP,GREAT EASTERN SHIPPING CO LTD,INE017A01032,20061127,GESHIP,TRUE,EQ,,,
GESHIPPING,GREAT EASTERN SHIPPING COMPANY LIMITED,,,,,,,,
GESTETNER,GESTETNER (INDIAI LTD,INE223C01016,,GESIND,,,,,
GET&D,GE T&D INDIA LIMITED,INE200A01026,20080630,ALSTD,TRUE,EQ,,,
GFL,,,,,,,,,
GFLLIMITED,GFL LIMITED,INE538A01037,19950525,GUJFLO,TRUE,EQ,,,
GFSTEELS,GRAND FOUNDRY LTD,INE534A01028,20190722,GRAFOU,TRUE,EQ,,,
GHCL,GHCL LIMITED,INE539A01019,20030731,GHCLIM,TRUE,EQ,,,
GICBAL,GIC MUTUAL FUND - BALANCED FUND,,,,,,,,
GICBIGCBS,GIC MUTUAL FUND BIG VALUE - CBS,,,,,,,,TRUE
GICBIGQDIS,GIC MUTUAL FUND BIG VALUE - QDIS,,,,,,,,TRUE
GICHSGFIN,GIC HOUSING FINANCE LTD,INE289B01019,19960508,GICHOU,TRUE,EQ,,,
GICRE,GENERAL INSURANCE CORP INDIA,INE481Y01014,20171025,GIC,TRUE,EQ,,,
GICSU96APP,GIC MUTUAL FUND SURAKSHA 96 - APPN,,,,,,,,
GICSU96MIP,GIC MUTUAL FUND SURAKSHA 96 - MIP,,,,,,,,TRUE
GILLANDERS,GILLANDERS ARBUTHNOT & CO LTD,INE047B01011,20091214,GILARB,TRUE,EQ,,,
GILLETTE,GILLETTE INDIA LTD,INE322A01010,20030730,GILIND,TRUE,EQ,,,
GILT5YBEES,,,,,TRUE,,,,
GINNIFILA,GINNI FILAMENTS LTD,INE424C01010,19950510,GINFIL,TRUE,EQ,,,
GIPCL,GUJARAT INDUSTRIES POWER CO L,INE162A01010,19950208,GUJIP,TRUE,EQ,,,
GISOLUTION,GI ENGINEERING SOLUTIONS LIMIT,INE065J01016,20090130,GIENGI,,EQ,,,
GITANJALI,GITANJALI GEMS LIMITED,,,,,,,,
GKB,GKB OPHTHALMICS LIMITED,INE265D01015,,GKBOPH,,,,,
GKW,,,,,,,,,
GKWLIMITED,GKW LIMITED,INE528A01020,20090720,GKW,TRUE,EQ,,,
GLAND,GLAND PHARMA LIMITED,INE068V01023,20201120,GLAPH,TRUE,EQ,,,
GLAXO,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,20001215,GLAPHA,TRUE,EQ,,,
GLENMARK,GLENMARK PHARMACEUTICALS LTD,INE935A01035,20000207,GLEPHA,TRUE,EQ,1150,TRUE,
GLFL,GUJARAT LEASE FINANCING LIMITE,INE540A01017,19950208,GUJLEA,TRUE,EQ,,,
GLOBABOARD,GLOBAL BOARDS LTD,,,,,,,,
GLOBAL,GLOBAL EDUCATION LTD,INE291W01011,20201207,GLOEDU,TRUE,EQ,,,
GLOBALTELE,,,,,,,,,
GLOBALVECT,GLOBAL VECTRA HELICORP LTD,INE792H01019,20061027,GLOVEC,TRUE,BZ,,,
GLOBE,Globe Textiles (India) Limited,INE581X01013,20201007,GLOTEX,TRUE,BE,,,
GLOBLTRUST,GLOBAL TRUST BANK LTD,INE130A01017,,GLOTRU,,,,,
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD,INE446C01013,20070503,GARSHI,,,,,
GLOBUSSPR,GLOBUS SPIRITS LIMITED,INE615I01010,20090923,GLOSPI,TRUE,EQ,,,
GLODYNE,GLODYNE TECHNOSERVE LIMITED,INE932G01021,,GLOTEC,,,,,
GLORY,GLORY POLYFILMS LTD,INE408H01012,,GLOPOL,,,,,
GLS,GLENMARK LIFE SCIENCES LIMITED,INE03Q201024,20210806,GLELIF,TRUE,EQ,,,
GMBREW,GM BREWERIES LIMITED,INE075D01018,19950823,GMBREW,TRUE,EQ,,,
GMDCLTD,GUJARAT MINERAL DEVELOPMENT CO,INE131A01031,19971217,GUJMI,TRUE,EQ,,,
GMMPFAUDLR,GMM PFAUDLER LTD,INE541A01023,20180305,GUJMAC,TRUE,EQ,,,
GMRFER,GMR FERRO ALLOYS & INDUSTRIES LIMITED,,,,,,,,
GMRINDS,,,,,,,,,TRUE
GMRINDSTRS,,,,,,,,,TRUE
GMRINFRA,GMR INFRASTRUCTURE LIMITED,INE776C01039,20060821,GMRINF,TRUE,EQ,22500,TRUE,
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,20220323,EVIACC,TRUE,EQ,,,
GMRVASAVI,GMR TECHNOLOGIES & INDUSTRIES LIMITED,,,,,,,,
GMSIND,,,,,,,,,TRUE
GNA,G N A AXLES LIMITED,INE934S01014,20160926,GNAAXL,TRUE,EQ,,,
GNFC,GUJARAT NARMADA FER & CHEM LTD,INE113A01013,19950517,GNFC,TRUE,EQ,1300,TRUE,
GOACARBON,GOA CARBON LIMITED,INE426D01013,20070605,GOACAR,TRUE,EQ,,,
GOCLCORP,GOCL CORPORATION LIMITED,INE077F01035,20140626,GOCCOR,TRUE,EQ,,,
GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,20211130,GOFASH,TRUE,EQ,,,
GODAVRFERT,GODAVARI FERTILISERS LTD,INE507C01012,,GODFER,,,,,
GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED,INE260B01028,19960724,GODPHI,TRUE,EQ,,,
GODHA,Godha Cabcon & Insulation Limited,INE925Y01010,20201224,GODCAB,TRUE,EQ,,,
GODREJAGRO,GODREJ AGROVET LIMITED,INE850D01014,20171016,GODAGR,TRUE,EQ,,,
GODREJCP,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,20010620,GODCON,TRUE,EQ,500,TRUE,
GODREJFOOD,,,,,,,,,
GODREJIND,GODREJ INDUSTRIES LIMITED,INE233A01035,20030225,GODIND,TRUE,EQ,,,
GODREJINDS,,,,,,,,,
GODREJPROP,GODREJ PROPERTIES LIMITED,INE484J01027,20100105,GODPRO,TRUE,EQ,325,TRUE,
GODREJSOP,GODREJ SOAPS LIMITED,,,,,,,,
GOENKA,Goenka Diamond and Jewels Limited,INE516K01024,20100416,GOEDIA,TRUE,BZ,,,
GOETZEIND,,,,,,,,,
GOKEX,GOKALDAS EXPORTS LIMITED,INE887G01027,20050427,GOKEXP,TRUE,EQ,,,
GOKUL,GOKUL REFOILS AND SOLVENT LIMI,INE020J01029,20080604,GOKREF,TRUE,EQ,,,
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED,INE314T01025,20160311,GOKAGR,TRUE,EQ,,,
GOLCRESFIN,GOLDCREST FINANCE (INDIA) LTD.,,,,,,,,
GOLDBEES,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,20070319,GOLDEX,TRUE,ETF,,,
GOLDENTOBC,GOLDEN TOBACCO LTD,INE973A01010,19950208,GTCIND,TRUE,EQ,,,
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED,INE025B01017,20050829,GOLINT,TRUE,EQ,,,
GOLDINFRA,GOLDSTONE INFRATECH LIMITED,,,,,,,,
GOLDIWIN,,,,,,,,,TRUE
GOLDSHARE,UTI GOLD ETF,INF789F1AUX7,20070417,UTGOLD,TRUE,ETF,,,
GOLDTECH,GOLDSTONE TECHNOLOGIES LTD,INE805A01014,20010411,GOLTEC,TRUE,BE,,,
GOLDTECHNO,,,,,,,,,
GOLDTELE,,,,,,,,,TRUE
GONTERPEIP,GONTERMANN PEIPERS (INDIA) LTD,INE530A01026,,GONPEI,,,,,
GOODLASNER,,,,,,,,,
GOODLUCK,GOODLUCK INDIA LIMITED,INE127I01024,20150108,GOOLUC,TRUE,EQ,,,
GOODRICKE,GOODRICKE GROUP LTD,INE300A01016,,GOOGRO,,,,,
GOODVALUE,GOOD VALUE MARKETING CO. LTD,,,,,,,,
GOODYEAR,GOODYEAR INDIA LTD,INE533A01012,19941228,GOOIND,TRUE,EQ,,,
GORDONHERB,,,,,,,,,
GOVINRUBER,GOVIND RUBBER LTD,INE011C01015,,GOVRUB,,,,,
GPELECT,,,,,,,,,
GPIL,GODAWARI POWER AND ISPAT LTD,INE177H01021,20060425,GODPOW,TRUE,EQ,,,
GPPL,GUJARAT PIPAVAV PORT LIMITED,INE517F01014,20100909,GUJPPL,TRUE,EQ,,,
GPTINFRA,GPT INFRAPROJECTS LTD,INE390G01014,20160711,GPTINF,TRUE,EQ,,,
GRABALALK,GRABAL ALOK IMPEX LIMITED,INE012D01011,,GLOALO,,,,,
GRAMOPHONE,SAREGAMA INDIA LIMITED,,,,,,,,
GRAMPHONCO,GRAMOPHONE COMPANY OF INDIA LIMITED,,,,,,,,TRUE
GRANDFONRY,GRAND FOUNDRY LIMITED,,,,,,,,TRUE
GRANULES,GRANULES INDIA LIMITED,INE101D01020,20050620,GRANUL,TRUE,EQ,1550,TRUE,
GRAPCOGRAN,GRAPCO INDUSTRIES LIMITED,,,,,,,,
GRAPCOMIN,GRAPCO MINING AND CO. LTD,,,,,,,,TRUE
GRAPHIT,GRAPHITE INDIA LTD,,,,,,,,TRUE
GRAPHITE,GRAPHITE INDIA LIMITED,INE371A01025,20030207,CAREVE,TRUE,EQ,,,
GRASIM,GRASIM INDUSTRIES LIMITED,INE047A01021,19950510,GRASIM,TRUE,EQ,475,TRUE,
GRAUWEIL,GRAUER & WEIL (INDIA) LTD,INE266D01021,20210805,GRAWEI,TRUE,EQ,,,
GRAVITA,GRAVITA INDIA LIMITED,INE024L01027,20101116,GRAVIN,TRUE,EQ,,,
GREAVES,GREAVES LIMITED,,,,,,,,
GREAVESCOT,GREAVES COTTON LIMITED,INE224A01026,20040909,GREAVE,TRUE,EQ,,,
GREENFIRE,,,,,,,,,
GREENLAM,GREENLAM INDUSTRIES LIMITED,INE544R01013,20150302,GREEIN,TRUE,EQ,,,
GREENPANEL,GREENPANEL INDUSTRIES LIMITED,INE08ZM01014,20191023,GREEI,TRUE,EQ,,,
GREENPLY,GREENPLY INDUSTRIES LIMITED,INE461C01038,19960306,GREIN,TRUE,EQ,,,
GREENPOWER,ORIENT GREEN POWER COMPANY LIM,INE999K01014,20101008,ORIGRE,TRUE,BE,,,
GRINDWELL,GRINDWELL NORTON LTD,INE536A01023,20060911,GRINOR,TRUE,EQ,,,
GRINFRA,G R INFRAPROJECTS LIMITED,INE201P01022,20210719,GRINFR,TRUE,EQ,,,
GRINWELNOR,,,,,,,,,
GRMAGNET,G R MAGNETS LTD,INE523A01013,,GRMAGN,,,,,
GROBTEA,THE GROB TEA COMPANY LIMITED,INE646C01018,20160714,GROTEA,TRUE,EQ,,,
GROMORSOLV,,,,,,,,,
GROWTECHNO,,,,,,,,,TRUE
GRPLTD,GRP LIMITED,INE137I01015,20150212,GRPLTD,TRUE,EQ,,,
GRSE,GARDEN REACH SHIPBUILD ENG LTD,INE382Z01011,20181010,GARREA,TRUE,EQ,,,
GRUH,GRUH FINANCE LIMITED,INE580B01029,,GRUFIN,,,,,
GRWRHITECH,Garware Hi-Tech Films Limited,INE291A01017,20220203,GARPOL,TRUE,EQ,,,
GSCLCEMENT,GUJARAT SIDHEE CEMENT LIMITED,INE542A01039,20130515,GUJSID,TRUE,EQ,,,
GSFC,GUJARAT STATE FERTILIZERS & CH,INE026A01025,19950906,GSFC,TRUE,EQ,,,
GSKCONS,GLAXOSMITHKLINE CONSUMER HEALT,INE264A01014,,GLACON,,,,,
GSL,,,,,,,,,
GSLNOVA,GSL NOVA PETROCHEMICALS LIMITE,INE787A01022,,GSLNOV,,,,,
GSPL,GUJARAT STATE PETRONET LIMITED,INE246F01010,20060216,GSPL,TRUE,EQ,1700,TRUE,
GSS,GSS INFOTECH LIMITED,INE871H01011,20080307,GSSINF,TRUE,EQ,,,
GSSAMERICA,GSS AMERICA INFOTECH LIMITED,,,,,,,,
GTCIND,,,,,,,,,TRUE
GTL,GTL LIMITED,INE043A01012,19950329,GLOTEL,TRUE,EQ,,,
GTLINFRA,GTL INFRASTRUCTURE LIMITED,INE221H01019,20061109,GTLINF,TRUE,EQ,,,
GTNIND,GTN INDUSTRIES LIMITED,INE537A01013,19950802,GTNIND,,,,,
GTNTEX,GTN TEXTILES LTD (FORMERLY KN,INE302H01017,20060518,GTNTE,,EQ,,,
GTNTEXT,,,,,,,,,
GTOFFSHORE,GOL OFFSHORE LIMITED,INE892H01017,,GREOFF,,,,,
GTPL,GTPL HATHWAY LIMITED,INE869I01013,20170704,GTPHAT,TRUE,EQ,,,
GUFICBIO,GUFIC BIOSCIENCES LIMITED,INE742B01025,20041019,GUFBIO,TRUE,EQ,,,
GUJALKALI,GUJARAT ALKALIS & CHEMICALS LT,INE186A01019,19970807,GUJALK,TRUE,EQ,,,
GUJAMBCEM,,,,,,,,,
GUJAMBCOTS,GUJARAT AMBUJA COTSPIN LIMITED,,,,,,,,TRUE
GUJAMBPROT,GUJARAT AMBUJA PROTEINS LTD,,,,,,,,TRUE
GUJAPARPOL,GUJARAT APAR POLYMERS LTD,,,,,,,,TRUE
GUJAPOLEQP,GUJARAT APOLLO EQUIPMENTS LTD.,,,,,,,,TRUE
GUJAPOLIND,,,,,,,,,TRUE
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD,INE826C01016,20070604,GUJAPO,TRUE,EQ,,,
GUJBOROSIL,GUJARAT BOROSIL LIMITED,INE059C01022,,GUJBOR,,,,,
GUJCOTEX,GUJARAT COTEX LTD,,,,,,,,
GUJCYPROM,GUJARAT CYPROMET LIMITED,,,,,,,,TRUE
GUJFLUORO,GUJARAT FLUOROCHEMICALS LIMITED,,,,,,,,TRUE
GUJGASLTD,GUJARAT GAS LIMITED,INE844O01030,20150915,GUJGA,TRUE,EQ,1250,TRUE,
GUJGLASS,GUJARAT GLASS LIMITED,,,,,,,,
GUJNRECOKE,GUJARAT NRE COKE LIMITED,INE110D01013,,GUJNRE,,,,,
GUJNREDVR,GUJARAT NRE COKE LTD PREFERENC,IN9110D01011,,GUJNPP,,,,,
GUJOPTICAL,GUJARAT OPTICAL COMMUNICATION LTD,,,,,,,,
GUJRAFFIA,GUJARAT RAFFIA IND LTD,INE610B01024,19961009,GUJRAF,TRUE,BE,,,
GUJRATGAS,GUJARAT GAS CO LTD,INE374A01029,,GUJGAS,,,,,
GUJRATTELE,GUJARAT TELEPHONE CABLES LTD,,,,,,,,
GUJSIDHCEM,GUJARAT SIDHEE CEMENTS LIMITED,,,,,,,,TRUE
GUJSTATFIN,GUJARAT STATE FINANCIAL CORPOR,INE944A01011,,GUJSTA,,,,,
GUJTHEMIS,GUJARAT THEMIS BIOSYN LTD,,,,,,,,
GULFCORP,,,,,,,,,TRUE
GULFOIL,GULF OIL INDIA LIMITED,,,,,,,,TRUE
GULFOILCOR,GULF OIL CORPORATION LIMITED,,,,,,,,TRUE
GULFOILLUB,GULF OIL LUBRICANTS INDIA LTD,INE635Q01029,20140731,GULLUB,TRUE,EQ,,,
GULFPETRO,GP PETROLEUMS LIMITED,INE586G01017,20040924,GPPET,TRUE,EQ,,,
GULPOLY,GULSHAN POLYOLS LTD,INE255D01024,20150128,GULPOL,TRUE,EQ,,,
GVKPIL,GVK POWER & INFRASTRUCTURE LIMITED,,,GVKPOW,,,,,
GWALCHEM,GWALIOR CHEMICAL INDUSTRIES LIMITED,,,,,,,,
HAL,HINDUSTAN AERONAUTICS LIMITED,INE066F01012,20180328,HINAER,TRUE,EQ,475,TRUE,
HALONIX,HALONIX LIMITED,,,,,,,,
HANILERA,HANIL ERA TEXTILES LTD,INE021D01012,,HANERA,,,,,
HANUNG,HANUNG TOYS AND TEXTILES LTD,INE648H01013,,HANTOY,,,,,
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES,INE419U01012,20200917,HAPMIN,TRUE,EQ,,,
HARDWYN,Hardwyn India Limited,INE626Z01011,20220412,GARIND,TRUE,BE,,,
HARIAEXPO,HARIA EXPORTS LTD.,,,,,,,,
HARIGCRANK,HARIG CRANKSHAFTS LTD,,,,,,,,TRUE
HARIOMPIPE,Hariom Pipe Industries Limited,INE00EV01017,20220413,HARPIP,TRUE,EQ,,,
HARITASEAT,HARITA SEATING SYSTEMS LTD,INE939D01015,20090406,HARSEA,,EQ,,,
HARRMALAYA,HARRISONS MALAYALAM LIMITED,INE544A01019,19950208,HARMAL,TRUE,EQ,,,
HARYANPETR,HARYANA PETROCHEMICALS LTD,,,,,,,,
HARYANSHET,HARYANA SHEET GLASS LTD,INE038D01016,,HARSHE,,,,,
HATHWAY,HATHWAY CABLE & DATACOM LIMITE,INE982F01036,20100225,HATCAB,TRUE,EQ,,,
HATSUN,HATSUN AGRO PRODUCTS LTD,INE473B01035,20140620,HATAGR,TRUE,EQ,,,
HAVELLS,HAVELLS INDIA LIMITED,INE176B01034,20010321,HAVIND,TRUE,EQ,500,TRUE,
HAVISHA,SRI HAVISHA HOSP INFRA LTD,INE293B01029,20000216,SHRSH,TRUE,BE,,,
HAWKINCOOK,HAWKINS COOKER LTD,INE979B01015,,HAWCOO,,,,,
HBANKETF,HDFC BANKING ETF,INF179KC1AN8,,HDFBET,TRUE,ETF,,,
HBLPOWER,HBL POWER SYSTEMS LIMITED,INE292B01021,20070104,HBLPOW,TRUE,EQ,,,
HBPORT,,,,,,,,,
HBSL,HB STOCKHOLDINGS LIMITED,INE550B01022,20180723,HBSTOC,TRUE,BE,,,
HBSTOCK,,,,,,,,,
HCC,HINDUSTAN CONSTRUCTION CO LTD,INE549A01026,20030401,HINCON,TRUE,EQ,,,
HCG,HEALTHCARE GLOBAL ENTP LTD,INE075I01017,20160330,HEAGLO,TRUE,EQ,,,
HCIL,HIMADRI CHEMICALS AND INDUSTRIES LIMITED,,,,,,,,
HCL-HP,,,,,,,,,TRUE
HCL-INSYS,HCL INFOSYSTEMS LTD,INE236A01020,19970101,HCLINF,TRUE,EQ,,,
HCLTECH,HCL TECHNOLOGIES LIMITED,INE860A01027,20000106,HCLTEC,TRUE,EQ,700,TRUE,
HDFC,HOUSING DEVELOPMENT FINANCE CO,INE001A01036,19961023,HDFC,TRUE,EQ,300,TRUE,
HDFCAMC,HDFC ASSET MANAGEMENT CO LTD,INE127D01025,20180806,HDFAMC,TRUE,EQ,200,TRUE,
HDFCBANK,HDFC BANK LIMITED,INE040A01034,19951108,HDFBAN,TRUE,EQ,550,TRUE,
HDFCLIFE,HDFC LIFE INSURANCE COM LTD,INE795G01014,20171117,HDFSTA,TRUE,EQ,1100,TRUE,
HDFCMFGETF,HDFC GOLD ETF,INF179KC1981,20100819,HDFGOL,TRUE,ETF,,,
HDFCNIFETF,HDFC MF NIFTY ETF - RGESS,INF179KC1965,20151216,HDFRGE,TRUE,ETF,,,
HDFCSENETF,HDFC MUTUAL FUND SENSEX ETF,INF179KC1973,20151216,HDFSEN,TRUE,ETF,,,
HDIL,Housing Development and Infrastructure Limited,INE191I01012,20070724,HDIL,,BZ,,,
HEALTHY,ADITYA BIR SUN  NIF HEALTH ETF,INF209KB10C2,,ADIHEA,TRUE,,,,
HECPROJECT,HEC Infra Projects Limited,INE558R01013,20211230,HECINF,TRUE,EQ,,,
HEG,HEG LIMITED,INE545A01016,19950510,HEG,TRUE,EQ,,,
HEIDELBERG,HEIDELBERG CEMENT INDIA LTD,INE578A01017,19950315,HEICEM,TRUE,EQ,,,
HELIOSMATH,HELIOS & MATHESON INFORMATION,INE674B01012,,HELMAT,,,,,
HEMIPROP,HEMISPHERE PROPERTIES IND LTD,INE0AJG01018,20201022,HEMPRO,TRUE,BE,,,
HERANBA,HERANBA INDUSTRIES LIMITED,INE694N01015,20210305,HERIND,TRUE,EQ,,,
HERBETSON,,,,,,,,,
HERCULES,HERCULES HOISTS LIMITED,INE688E01024,20080219,HERHOI,TRUE,EQ,,,
HERDILCHEM,,,,,,,,,
HERDIOXIDE,HERDILLIA OXIDES AND ELECTRO LTD,,,,,,,,TRUE
HERITGFOOD,HERITAGE FOODS LIMITED,INE978A01027,19961127,HERFOO,TRUE,EQ,,,
HEROHONDA,HERO HONDA MOTORS LIMITED,,,,,,,,
HEROMOTOCO,HERO MOTOCORP LIMITED,INE158A01026,20030411,HERHON,TRUE,EQ,300,TRUE,
HESTERBIO,HESTER BIOSCIENCES LTD,INE782E01017,20150313,HESPHA,TRUE,EQ,,,
HEXATRADEX,HEXA TRADEX LIMITED,INE750M01017,20120420,HEXTRA,TRUE,BE,,,
HEXAWARE,HEXAWARE TECHNOLOGIES LTD,INE093A01033,,HEXTEC,,,,,
HFCL,HFCL LIMITED,INE548A01028,20110309,HIMFUT,TRUE,EQ,,,
HGINFRA,H G INFRA ENGINEERING LTD,INE926X01010,20180309,HGINF,TRUE,EQ,,,
HGS,HINDUJA GLOBAL SOLUTIONS LIMIT,INE170I01016,20070619,HTMGLO,TRUE,EQ,,,
HGSL,HINDUJA GLOBAL SOLUTIONS LIMITED,,,,,,,,
HIGHGROUND,,,,,,,,,TRUE
HIKAL,HIKAL LIMITED,INE475B01022,20010214,HIKCHE,TRUE,EQ,,,
HIL,HIL LIMITED,INE557A01011,19950426,HILLTD,TRUE,EQ,,,
HILTON,HILTON METAL FORGING LIMITED,INE788H01017,20070524,HILMET,TRUE,EQ,,,
HIMACHLFUT,HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED,,,,,,,,
HIMACHTELE,HIMACHAL TELEMATICS LIMITED,,,,,,,,TRUE
HIMADCHEM,HIMADRI CHEMICALS AND INDUSTRIES LTD,,,,,,,,TRUE
HIMATSEIDE,HIMATSINGKA SEIDE LTD,INE049A01027,19950208,HIMSEI,TRUE,EQ,,,
HIMGRANITE,HIMALAYA GRANITES LTD.,,,,,,,,
HINDALC0,,,,,,,,,TRUE
HINDALCO,HINDALCO INDUSTRIES LIMITED,INE038A01020,19970108,HINDAL,TRUE,EQ,1075,TRUE,
HINDALLOYS,HAMCO MINING & SMELTING LIMITED,,,,,,,,
HINDCIBA,HINDUSTAN CIBA-GEIGY LTD.,,,,,,,,TRUE
HINDCOMPOS,HINDUSTAN COMPOSITES LTD,INE310C01029,19960508,HINCOM,TRUE,EQ,,,
HINDCON,HINDCON CHEMICALS LIMITED,INE642Y01011,20210705,HINCHE,TRUE,EQ,,,
HINDCONS,,,,,,,,,
HINDCOPPER,HINDUSTAN COPPER LIMITED,INE531E01026,20100915,HINCOP,TRUE,EQ,4300,TRUE,
HINDDORROL,HINDUSTAN DORR-OLIVER LIMITED,INE551A01022,,HINDOR,,,,,
